epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4114,0.70733,4.207,1.31417,0.67309,0.61129,0.74458,0.71244,0.35006,1.65429,1.045,0.0701056,0.0033216,0.0033216
2,127.544,0.49979,1.46234,1.12615,0.81438,0.82085,0.95075,0.86499,0.43346,0.97608,1.12395,0.0400925,0.00664175,0.00664175
3,190.241,0.53338,1.08156,1.12626,0.77066,0.68918,0.79994,0.72782,0.56421,1.28182,1.40514,0.0100661,0.00994871,0.00994871
4,252.383,0.51656,0.82517,1.10299,0.78125,0.76812,0.90137,0.77571,0.64476,1.15152,1.46556,0.0099406,0.0099406,0.0099406
5,314.318,0.46486,0.65626,1.06841,0.91345,0.97482,0.99436,0.95696,0.31947,0.37017,1.00428,0.0099208,0.0099208,0.0099208
6,376.281,0.42239,0.5588,1.04064,0.95326,0.99231,0.99477,0.96211,0.27637,0.27879,0.96303,0.009901,0.009901,0.009901
7,438.243,0.39334,0.49527,1.02313,0.95952,0.99071,0.995,0.97261,0.25646,0.25655,0.94405,0.0098812,0.0098812,0.0098812
8,500.208,0.36425,0.43684,1.00812,0.97174,0.98537,0.99479,0.9833,0.22235,0.22038,0.89387,0.0098614,0.0098614,0.0098614
9,562.166,0.34109,0.40367,0.99243,0.94978,0.97448,0.99466,0.98191,0.21705,0.28283,0.89464,0.0098416,0.0098416,0.0098416
10,624.134,0.32445,0.37712,0.98374,0.96997,0.9997,0.995,0.98336,0.21913,0.23024,0.89621,0.0098218,0.0098218,0.0098218
11,686.056,0.3137,0.36093,0.98144,0.95991,0.99276,0.995,0.97338,0.25658,0.27928,0.93942,0.009802,0.009802,0.009802
12,747.985,0.29942,0.34292,0.96924,0.96902,0.98652,0.995,0.98725,0.18415,0.21435,0.86938,0.0097822,0.0097822,0.0097822
13,809.888,0.29025,0.32732,0.96658,0.97345,0.99596,0.99472,0.98848,0.19497,0.20137,0.87732,0.0097624,0.0097624,0.0097624
14,871.789,0.27701,0.31238,0.95915,0.93005,0.81507,0.90215,0.82089,0.53105,0.67683,1.40358,0.0097426,0.0097426,0.0097426
15,933.701,0.2668,0.29682,0.95429,0.97438,0.99844,0.995,0.98609,0.18937,0.19301,0.89471,0.0097228,0.0097228,0.0097228
16,995.647,0.25817,0.28875,0.94807,0.98321,1,0.995,0.99168,0.16817,0.17091,0.85091,0.009703,0.009703,0.009703
17,1057.59,0.25037,0.2848,0.94471,0.97703,1,0.995,0.99205,0.17015,0.17864,0.85519,0.0096832,0.0096832,0.0096832
18,1119.54,0.24031,0.27241,0.9391,0.9825,0.99827,0.995,0.9941,0.15277,0.16425,0.83876,0.0096634,0.0096634,0.0096634
19,1181.44,0.23681,0.26766,0.93696,0.97937,1,0.995,0.9931,0.15152,0.15828,0.83834,0.0096436,0.0096436,0.0096436
20,1243.31,0.22999,0.25461,0.93388,0.98401,0.99324,0.995,0.9917,0.14805,0.16408,0.84575,0.0096238,0.0096238,0.0096238
21,1305.21,0.22867,0.25256,0.93535,0.98417,1,0.995,0.99219,0.15244,0.16041,0.84109,0.009604,0.009604,0.009604
22,1367.12,0.2234,0.25095,0.93106,0.98042,0.99295,0.995,0.99051,0.15054,0.1808,0.84106,0.0095842,0.0095842,0.0095842
23,1429.07,0.21965,0.24157,0.9308,0.96081,0.98075,0.995,0.97417,0.15804,0.27242,0.84459,0.0095644,0.0095644,0.0095644
24,1491.02,0.21287,0.24029,0.92694,0.98342,0.99276,0.995,0.99245,0.13961,0.15427,0.8327,0.0095446,0.0095446,0.0095446
25,1553.03,0.20922,0.24037,0.92227,0.98696,0.99333,0.995,0.99363,0.14052,0.15327,0.83536,0.0095248,0.0095248,0.0095248
26,1615.03,0.20578,0.23012,0.92327,0.9662,0.99985,0.99232,0.98919,0.13899,0.17705,0.83763,0.009505,0.009505,0.009505
27,1677.28,0.2019,0.22628,0.92121,0.98881,1,0.995,0.9944,0.14501,0.15725,0.84203,0.0094852,0.0094852,0.0094852
28,1739.54,0.19895,0.22725,0.91788,0.98851,1,0.995,0.9938,0.13055,0.1345,0.82,0.0094654,0.0094654,0.0094654
29,1802,0.19695,0.22642,0.92016,0.98926,0.99932,0.995,0.99341,0.11659,0.12899,0.81242,0.0094456,0.0094456,0.0094456
30,1863.9,0.19488,0.22062,0.91876,0.97492,0.99675,0.995,0.99412,0.12097,0.17739,0.81886,0.0094258,0.0094258,0.0094258
31,1925.83,0.18937,0.21428,0.91784,0.97544,0.99649,0.995,0.98985,0.13171,0.17366,0.82904,0.009406,0.009406,0.009406
32,1987.76,0.18876,0.21492,0.91766,0.98311,1,0.995,0.98991,0.11941,0.14357,0.81995,0.0093862,0.0093862,0.0093862
33,2049.71,0.18596,0.21607,0.91518,0.98438,0.99953,0.995,0.99339,0.12414,0.13204,0.82569,0.0093664,0.0093664,0.0093664
34,2111.63,0.18052,0.20589,0.91329,0.98646,0.99609,0.995,0.99043,0.12453,0.16953,0.82162,0.0093466,0.0093466,0.0093466
35,2173.51,0.18043,0.20502,0.91257,0.99335,1,0.995,0.99486,0.10964,0.11905,0.80845,0.0093268,0.0093268,0.0093268
36,2235.45,0.18131,0.20432,0.91076,0.99122,1,0.995,0.99315,0.12395,0.1315,0.82132,0.009307,0.009307,0.009307
37,2297.34,0.17744,0.20048,0.90886,0.99497,1,0.995,0.99443,0.12371,0.12621,0.82914,0.0092872,0.0092872,0.0092872
38,2359.3,0.17569,0.20317,0.9093,0.99335,1,0.995,0.98892,0.14528,0.1534,0.85062,0.0092674,0.0092674,0.0092674
39,2421.31,0.17352,0.2011,0.90894,0.98818,0.99333,0.995,0.99444,0.11567,0.15725,0.82529,0.0092476,0.0092476,0.0092476
40,2483.18,0.17192,0.19794,0.9098,0.99354,1,0.995,0.99403,0.11394,0.13027,0.82198,0.0092278,0.0092278,0.0092278
41,2545.18,0.17133,0.19712,0.90646,0.98921,1,0.995,0.99063,0.12025,0.12797,0.82702,0.009208,0.009208,0.009208
42,2607.04,0.16683,0.19315,0.90611,0.99332,0.99083,0.99453,0.99149,0.11973,0.14888,0.83109,0.0091882,0.0091882,0.0091882
43,2669.34,0.16709,0.1904,0.9054,0.99188,0.99927,0.995,0.99433,0.11035,0.14501,0.81911,0.0091684,0.0091684,0.0091684
